1228,1887,1125
1207,1874,1138
1184,1857,1160
1142,1830,1194
1086,1791,1253
1041,1763,1338
1012,1748,1443
1004,1747,1556
1019,1752,1629
1040,1737,1634
1038,1739,1635
1032,1741,1634
1037,1734,1637
1065,1705,1651
1099,1657,1669
1133,1617,1691
1167,1590,1713
1209,1559,1737
1249,1528,1762
1284,1502,1787
1314,1480,1807
1344,1458,1827
1368,1443,1843
1378,1438,1846
1379,1438,1843
1391,1420,1829
1412,1387,1805
1446,1338,1770
1483,1289,1737
1513,1250,1712
1548,1208,1686
1604,1151,1649
1657,1102,1621
1711,1071,1605
1720,1077,1606
1717,1081,1607
1718,1084,1603
1731,1106,1585
1756,1145,1551
1789,1192,1511
1815,1236,1479
1843,1279,1444
1880,1334,1402
1930,1402,1353
1973,1458,1314
1989,1482,1299
1989,1482,1300
1986,1485,1298
1980,1505,1280
1967,1527,1250
1946,1551,1219
1908,1589,1168
1879,1631,1121
1853,1679,1075
1831,1731,1039
1821,1801,1013
1815,1830,1011
1815,1831,1014
1815,1831,1016
1809,1838,1024
1795,1862,1048
1763,1888,1087
1723,1922,1134
1688,1954,1185
1650,1990,1234
1610,2035,1289
1569,2079,1350
1529,2079,1376
1513,2079,1377
1513,2079,1377
1508,2079,1378
1493,2079,1380
1481,2079,1381
1475,2079,1381
1467,2079,1380
1459,2077,1374
1437,2052,1339
1375,1997,1279
1316,1952,1222
1260,1915,1166
1201,1880,1109
1142,1842,1042
1065,1801,970
982,1762,889
887,1726,796
810,1702,723
750,1685,664
706,1674,619
668,1668,583
665,1664,579
667,1663,581
677,1662,586
708,1669,614
761,1684,671
840,1707,747
939,1743,846
1052,1792,957
1166,1852,1067
1249,1902,1152
1316,1946,1220
1378,1996,1281
1446,2053,1351
1488,2080,1402
1496,2080,1406
1502,2080,1422
1525,2080,1465
1567,2080,1520
1605,2080,1557
1648,2080,1598
1704,2080,1654
1760,2080,1695
1809,2080,1727
1858,2080,1774
1903,2080,1836
1955,2080,1901
2029,2075,1922
2042,2065,1925
2042,2035,1922
2041,1985,1909
2042,1911,1845
2042,1827,1740
2041,1766,1653
2042,1721,1582
2042,1688,1532
2042,1655,1489
2042,1625,1450
2042,1597,1427
2042,1580,1411
2041,1561,1380
2042,1555,1364
2042,1555,1364
2041,1554,1359
2042,1550,1347
2041,1548,1345
2025,1526,1315
1975,1466,1262
1925,1403,1199
1875,1330,1132
1837,1272,1067
1791,1191,987
1749,1111,903
1713,1024,814
1683,940,732
1657,852,640
1638,775,559
